Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BTCBUSD_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,ETHBUSD_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,BNBBUSD_Volume
2020-04-20,7130.98000000,7223.45000000,6748.15000000,6840.50000000,5298.26767300,180.34000000,186.65000000,166.99000000,170.45000000,36232.31517000,16.08500000,16.45660000,14.87360000,14.97140000,86238.11000000
2020-04-21,6837.84000000,6951.00000000,6772.07000000,6850.65000000,4878.85975400,170.10000000,174.85000000,168.38000000,170.88000000,15647.87546000,14.97350000,15.44420000,14.74480000,15.14190000,64288.19000000
2020-04-22,6850.34000000,7166.33000000,6825.34000000,7133.15000000,3900.83652900,170.91000000,184.18000000,170.07000000,182.92000000,20813.75617000,15.13440000,15.81700000,14.94720000,15.73000000,58295.25000000
2020-04-23,7134.93000000,7766.89000000,7032.94000000,7490.61000000,6996.11741200,182.92000000,194.15000000,178.37000000,185.76000000,48863.95948000,15.72560000,16.49000000,15.42190000,16.04890000,98862.48000000
2020-04-24,7490.62000000,7659.00000000,7394.06000000,7511.21000000,5052.42520200,185.56000000,190.00000000,184.85000000,187.74000000,15181.71618000,16.05810000,16.27800000,15.70090000,15.93380000,42937.04000000
2020-04-25,7511.22000000,7714.34000000,7435.52000000,7545.92000000,2910.96411900,187.85000000,198.33000000,185.98000000,194.42000000,20117.52706000,15.93400000,16.45000000,15.79590000,16.24250000,48513.01000000
2020-04-26,7545.91000000,7710.31000000,7482.48000000,7703.16000000,3698.18547600,194.39000000,200.10000000,192.54000000,197.61000000,18476.54379000,16.24080000,16.45000000,16.07530000,16.37960000,32386.91000000
2020-04-27,7702.33000000,7800.00000000,7633.16000000,7785.89000000,4217.28877200,197.66000000,199.20000000,189.95000000,196.87000000,36001.67262000,16.37970000,16.56530000,16.06110000,16.44010000,37128.27000000
2020-04-28,7787.54000000,7792.70000000,7670.83000000,7752.63000000,3583.67189500,196.84000000,197.86000000,192.64000000,196.61000000,12782.40298000,16.44880000,16.50000000,16.15190000,16.37400000,30343.23000000
2020-04-29,7752.55000000,8975.00000000,7720.00000000,8785.99000000,12046.01602100,196.61000000,219.22000000,196.57000000,215.55000000,34483.60269000,16.37270000,17.53130000,16.32560000,17.39550000,118482.56000000
2020-04-30,8786.25000000,9472.04000000,8408.00000000,8625.69000000,14027.35473400,215.55000000,227.59000000,202.33000000,206.30000000,38533.98885000,17.37590000,18.14660000,16.51510000,16.96930000,118752.56000000
2020-05-01,8625.68000000,9070.00000000,8619.74000000,8828.70000000,8336.46143200,206.19000000,217.50000000,206.07000000,212.12000000,21976.45411000,16.96230000,17.84740000,16.95000000,17.45400000,78609.29000000
2020-05-02,8828.78000000,9018.03000000,8759.49000000,8980.54000000,4014.76859800,212.06000000,215.50000000,210.55000000,213.93000000,9334.32780000,17.45020000,17.57590000,17.27020000,17.54190000,29353.70000000
2020-05-03,8981.04000000,9203.37000000,8727.43000000,8902.71000000,7031.25596400,214.04000000,219.37000000,205.14000000,210.06000000,14435.32272000,17.54940000,17.81050000,16.88900000,17.11580000,49938.50000000
2020-05-04,8902.75000000,8964.76000000,8534.27000000,8882.88000000,5920.12757800,210.16000000,210.88000000,195.12000000,206.93000000,34279.60713000,17.11500000,17.31850000,16.29510000,17.02990000,63412.82000000
